Kachchh,Lakhpat,Chher Nani
Kachchh,Lakhpat,Shinapar
Kachchh,Lakhpat,Punrajpar
Kachchh,Lakhpat,Kaner
Kachchh,Lakhpat,Lakhpat
Kachchh,Lakhpat,Karanpar
Kachchh,Lakhpat,Guneri
Kachchh,Lakhpat,Sayra
Kachchh,Lakhpat,Mudhan
Kachchh,Lakhpat,Siyot
Kachchh,Lakhpat,Atdo
Kachchh,Lakhpat,Ukher
Kachchh,Lakhpat,Umarsar
Kachchh,Lakhpat,Pranpar
Kachchh,Lakhpat,Baiyavo
Kachchh,Lakhpat,Maldo
Kachchh,Lakhpat,Khengarpar
Kachchh,Lakhpat,Chher Moti
Kachchh,Lakhpat,Fatehpur
Kachchh,Lakhpat,Kapurasi
Kachchh,Lakhpat,Koriyani
Kachchh,Lakhpat,Mundhvay
Kachchh,Lakhpat,Panandhro
Kachchh,Lakhpat,Fulra
Kachchh,Lakhpat,Akari
Kachchh,Lakhpat,Chhuger
Kachchh,Lakhpat,Dhareshi
Kachchh,Lakhpat,Ghaduli
Kachchh,Lakhpat,Lakhapar
Kachchh,Lakhpat,Bana
Kachchh,Lakhpat,Jara
Kachchh,Lakhpat,Khatiyun (Khatiya)
Kachchh,Lakhpat,Virani
Kachchh,Lakhpat,Khanot
Kachchh,Lakhpat,Naredi
Kachchh,Lakhpat,Kaiyari
Kachchh,Lakhpat,Dhunay
Kachchh,Lakhpat,Koteshvar
Kachchh,Lakhpat,Narayan Sarovar
Kachchh,Lakhpat,Kanoj
Kachchh,Lakhpat,Sheh
Kachchh,Lakhpat,Godhatad
Kachchh,Lakhpat,Mindhiyari
Kachchh,Lakhpat,Subhashpar(Sanandhro)
Kachchh,Lakhpat,Dayapar
Kachchh,Lakhpat,Amiya
Kachchh,Lakhpat,Haroda
Kachchh,Lakhpat,Jumara
Kachchh,Lakhpat,Nara
Kachchh,Lakhpat,Junachay
Kachchh,Lakhpat,Meghpar
Kachchh,Lakhpat,Dolatpar
Kachchh,Lakhpat,Bitiyari
Kachchh,Lakhpat,Chamra
Kachchh,Lakhpat,Mudiya
Kachchh,Lakhpat,Bhudha (Budha)
Kachchh,Lakhpat,Guhar Nani
Kachchh,Lakhpat,Guhar Moti
Kachchh,Lakhpat,Tahera
Kachchh,Lakhpat,Kunri
Kachchh,Lakhpat,Hamankhudi
Kachchh,Lakhpat,Rodasar Lakki
Kachchh,Lakhpat,Lakhmirani
Kachchh,Lakhpat,Naredo
Kachchh,Lakhpat,Baranda
Kachchh,Lakhpat,Chakrai
Kachchh,Lakhpat,Khadak
Kachchh,Lakhpat,Ravareshvar
Kachchh,Lakhpat,Ashaldi (Suja Vandh)
Kachchh,Lakhpat,Matana Madh
